ID,Unemployment rate,Inflation rate,GDP
452ddbad-725c-41d8-8081-39720ca3b809,9.4,-0.8,-3.12
455f7375-e6bd-446e-98f6-15ad5ab851df,7.6,2.6,0.32
45669034-f979-4ddd-9c99-d55e0809fc57,11.1,0.6,2.02
456fbff9-e323-4994-8d8b-65a4f32b651d,15.5,2.8,-4.06
45cb5d0f-b202-42e0-be89-27c8bccc1e6b,13.9,-0.3,0.79
45f24da4-587b-4539-af91-063316aa19f9,8.9,1.4,3.51
4617f5ef-78de-4c3c-baf5-a304a5d99225,8.9,1.4,3.51
46599228-ade1-4f54-8ab6-f93105f966e9,7.6,2.6,0.32
46b0d031-0e7d-4dfc-9007-4d2f2305d5f4,12.7,3.7,-1.7
46d83fda-3e8d-442b-9ecd-44e8e6b44aa8,13.9,-0.3,0.79
46f72561-105a-4a86-ad1f-3e214dae935c,8.9,1.4,3.51
4703b956-0052-4df5-9be8-e9f0cc14e126,12.4,0.5,1.79
472b9902-5d50-41d9-b54f-47a01876f66a,12.7,3.7,-1.7
47305a00-2a44-4e8a-a4a8-d5c1223294fd,13.9,-0.3,0.79
477c39e4-0144-4e12-ae60-867f0fd3fdce,8.9,1.4,3.51
47879fb5-3495-48a1-9fe4-72771c402bd6,16.2,0.3,-0.92
4793f218-b419-4238-8b1a-68477be38951,9.4,-0.8,-3.12
4796c289-96ce-4ea9-90c8-3d3d4da5b074,15.5,2.8,-4.06
479d90a0-6a47-40b1-82aa-86b00536419e,11.1,0.6,
479ee0ff-4e93-4553-aa91-e9a1107f446d,11.1,0.6,2.02
47e0bcec-b04d-4b11-ba80-a14c494fc644,16.2,0.3,-0.92
47eda3a5-8625-4ddf-b20b-460742fcad21,15.5,2.8,-4.06
48120f83-7062-4d24-8d57-23fbcf9ea954,12.4,0.5,1.79
4813044d-a1c9-4e5c-9aa7-97299f72c6de,16.2,0.3,-0.92
4834f049-fad7-48e9-9f0f-f8d60c3dbe93,13.9,-0.3,0.79
48d6687f-db51-4df1-a6e6-05818066ab94,8.9,1.4,3.51
48dce523-9cd7-4303-b911-e7a3885eb0f5,10.8,1.4,1.74
48e44439-2f2e-421c-8a8c-2c5997651155,10.8,1.4,1.74
49391c86-b352-4cb8-b7e8-3ae167fcdaf3,7.6,2.6,0.32
493c6824-e2ae-478e-9478-f797e2402ccb,13.9,-0.3,0.79
4954e540-2d47-4769-b033-2d638ad1a774,7.6,2.6,
49ae1f30-ad45-49b1-8497-b08332f60e1a,12.4,0.5,1.79
49fec245-4fd9-41da-98e9-b6043eb909c0,9.4,-0.8,-3.12
4a6b41b0-47c1-41aa-bc28-b47c34234fa1,11.1,0.6,2.02
4a77b1c7-3f0f-47f4-9393-41cfc7ba61a6,9.4,-0.8,-3.12
4abd1fb2-f1de-48a2-a855-e9ade02f76d3,16.2,0.3,-0.92
4ac5433d-1c8f-4a2e-84d6-c09de2c344ee,10.8,1.4,1.74
4acc6e46-d7f3-4df7-9d8b-a88aae1a0bc8,9.4,-0.8,-3.12
4b00d4fa-6cf0-46a3-901a-e313f7db2142,15.5,2.8,-4.06
4b45bae1-398e-4f68-b161-792cc9968200,13.9,-0.3,0.79
4b50e0b0-83dd-4014-9bae-5b7e953ec9d4,12.4,0.5,1.79
4b77c0d9-2315-40bb-8d99-98a49e99506d,9.4,-0.8,-3.12
4b814ed2-9afc-4df0-82f9-dc8773d9ae97,12.4,0.5,1.79
4b9f817a-bb8d-4933-9452-89c756d43a1d,12.4,0.5,1.79
4c0de9c1-fe0a-45e1-a2c3-4c9667d793ee,13.9,-0.3,0.79
4c143bd4-e343-47d9-bc8b-9aeeab84bb43,7.6,2.6,0.32
4c1de728-a861-4199-883d-45a0d0ae0b9b,8.9,1.4,3.51
4c3456ae-a68f-4d2b-982b-dd0f5afb31ce,13.9,-0.3,0.79
4c5f226e-5c94-4ac4-9309-08a07bc35206,7.6,2.6,0.32
4c611416-b19b-4a0a-8054-b8037663ed76,12.4,0.5,1.79
4c8cc8de-53be-4613-9bea-6708420932e3,7.6,2.6,0.32
4c9584ed-fa90-412e-aade-5b89864d7ba0,8.9,1.4,3.51
4ca6a324-c728-429c-8d4a-d28fdc13b459,11.1,0.6,2.02
4d05090a-875e-4bb0-8192-c2ea7bb031d1,13.9,-0.3,0.79
4d09cadb-d42e-4a5d-a7cc-27c6c2286c10,7.6,2.6,0.32
4d35c1f9-4601-439f-9a3b-8032eaf921fe,12.4,0.5,1.79
4d54c3dc-b7c4-46b4-a458-6b6d7aa06d09,8.9,1.4,3.51
4da09cae-106b-4e12-881c-3fc5c41db601,12.4,0.5,1.79
4dc4a37e-1835-4860-ac98-6b40a29617f0,15.5,2.8,-4.06
4e124d7f-7f68-4ed1-a9f8-daea55f9a701,,-0.8,-3.12
4e1d108d-6e2b-4c2c-b9f7-83858f72807b,7.6,2.6,0.32
4e1d8d95-81fb-4e8d-a0e2-35bc1f3c0948,7.6,2.6,0.32
4e21cca0-b8f4-4e76-84d0-6719c888e279,13.9,-0.3,0.79
4e254f91-ca07-457f-bc40-9aedc6e0114f,11.1,0.6,2.02
4e35c4f8-d76d-40fa-8570-43b5f1b66b2c,9.4,-0.8,-3.12
4e4de38e-e9bd-45ef-bff2-7f7dc74c88c7,7.6,2.6,0.32
4e572828-5abd-462a-93d1-a2c88ecd500a,9.4,-0.8,-3.12
4e6bdd69-ed85-43e9-8992-580cd055c142,7.6,2.6,
4e703ca1-cb44-4ce7-96eb-20ae04b186e2,,-0.8,-3.12
4e7312e1-9d19-4a97-86a3-ef248cce17ec,7.6,2.6,0.32
4f178ea5-ea4b-44a3-9756-bd9e28448679,12.4,0.5,1.79
4f1f3efe-e661-4ccc-946f-759db2ff2d45,12.7,3.7,-1.7
4f39971a-b5a5-4e5d-a093-6710966d715b,9.4,-0.8,-3.12
4f453cce-d522-4307-ad60-ee8cb782f258,11.1,0.6,2.02
4fb54373-621a-4d18-bcb2-5694ba7f9ac2,10.8,1.4,1.74
4fbb8320-4a6a-48b2-b3cf-9789e2bfcb1a,15.5,2.8,-4.06
50668011-ce6b-4a4d-8644-82abc0ac86f4,15.5,2.8,-4.06
50814050-b707-4b79-b6b9-e4ba1390e8cb,10.8,1.4,1.74
50815944-ec17-45e4-9b51-4bf649c9bad4,7.6,2.6,
50891f70-a510-4998-b5ba-f01be9830d3d,15.5,2.8,-4.06
50f2707d-cf80-46d2-baaa-5ac5b3b57e5d,8.9,1.4,3.51
5119f219-9917-4f4f-9e17-8614516785cd,13.9,-0.3,0.79
511b91d7-da96-4dc6-98a5-acd40e8fe2d4,12.7,3.7,-1.7
51335e68-6b56-474b-8494-a5a0c2a80d9f,16.2,0.3,-0.92
51473788-ef36-43a6-a7da-637ee4ebe0c4,12.7,3.7,-1.7
51497705-d2d4-41a9-9a2b-7994d2ba46ed,15.5,2.8,-4.06
5161fc79-0cfc-4562-9fa2-b441506c1c3d,7.6,2.6,0.32
516c3062-bb8a-4d54-9c37-6c16e42ac5de,9.4,-0.8,-3.12
517dfd58-9187-4ed4-b041-8341fb73194c,,0.6,2.02
518bcc1f-2413-4ed2-9792-38103ab2e69c,7.6,2.6,0.32
51fc563d-e836-40b7-83ab-a72ca3a143c6,7.6,2.6,0.32
52bec48a-26bf-4346-adb1-5b056c7c124b,7.6,2.6,0.32
52ecdbff-3892-4f2f-bd94-147eb5bfcdf2,9.4,-0.8,-3.12
5355c37b-f1d5-45d5-bdae-1c80b4662133,16.2,0.3,-0.92
53748b34-023a-4c7c-bdbf-b90eb4589f34,12.4,0.5,1.79
5385e4ed-1b46-458c-9e7a-dcfb6d643581,9.4,-0.8,-3.12
538887f3-258b-423a-974c-a2cac1c1f060,11.1,0.6,2.02
53aa4894-55d2-4853-ae4d-1e4ac3906a78,15.5,,-4.06
53c14f11-48d2-490f-9a93-76e2f15e203d,11.1,0.6,2.02
53d694dd-e3e8-4a81-ac69-8d95f5942489,10.8,1.4,1.74
53f39cce-6e94-40d0-abf2-c8b788737fc8,9.4,-0.8,-3.12
5406a6a3-a4d9-4f9b-948a-9088fa69f42e,7.6,2.6,0.32
540cc668-09c9-4144-b5ed-641f5a392b64,8.9,1.4,
54603074-e6e1-410b-9ba0-db64eb9f2b6b,16.2,0.3,-0.92
546eff74-76c0-4740-bcb5-6a66c3adad04,13.9,-0.3,0.79
54b670be-e494-4b40-b5cb-a60ed1b305b2,9.4,-0.8,-3.12
54db18e8-1c5a-4221-a14d-b04daa7953a6,7.6,2.6,0.32
54ed3c4c-4514-4325-aa6d-fca099c208bf,12.4,0.5,1.79
54f05c9c-da7a-4044-9e42-c43c34f1d818,12.7,3.7,-1.7
551b7de0-7644-490b-be5b-b175725ce58e,8.9,1.4,3.51
55529f2b-5379-4352-93e2-220c34d94ba4,9.4,-0.8,-3.12
558de8cb-a281-49fa-9230-dfdedca77cab,13.9,-0.3,0.79
55ac0472-c73e-40c8-b761-c86721b2c635,11.1,0.6,2.02
55d39525-eb52-4689-a025-b38071e225b1,11.1,0.6,2.02
56074f4c-0356-40e5-b5af-9cfa030ecebc,10.8,1.4,1.74
5682ac9b-ae0e-4c4b-af4d-d7e6649afe4d,7.6,2.6,0.32
569681aa-1cd5-43b0-bf80-a5eadbc75228,10.8,1.4,1.74
57499814-d363-41a8-a89c-be0da2a9a420,13.9,-0.3,0.79
57687e86-ad62-4d49-9d29-291eb31b8dd8,16.2,0.3,-0.92
57781283-9df4-44de-82d4-56b7725892a5,7.6,2.6,0.32
57a7903b-164d-46d0-9e2a-1e17378e497a,12.7,3.7,-1.7
57c025c2-b530-473a-b169-105be7047504,16.2,0.3,-0.92
57c78724-9bc0-4a3f-9e7e-88277efd878d,13.9,-0.3,0.79
583b2299-0272-44df-add7-8a093df8bbe2,16.2,0.3,-0.92
596589f4-b521-45b5-a1b3-945bd75a0d02,12.7,3.7,-1.7
597fe991-dc7f-49af-94f2-01793cf8031c,7.6,2.6,0.32
59898b57-9f37-42f3-8980-8750e05afaa4,13.9,-0.3,0.79
59c723e2-84b7-4b71-84f8-25ae32ba1749,16.2,0.3,-0.92
59e92af8-fdbc-41fe-a375-56c7e184188c,7.6,2.6,0.32
5a12fbd0-b073-4f53-a121-a831bc8980eb,15.5,2.8,-4.06
5a2a2992-8484-4602-bdb9-fcfeb6045c38,12.4,0.5,1.79
5a619393-a54d-44d7-b584-d8baf9ea475f,9.4,-0.8,
5a62950c-0be6-4edb-ba95-3d5c95c14493,8.9,1.4,3.51
5a98cfb3-f08c-41e8-bcbd-66f04f074c10,7.6,2.6,0.32
5a9f614b-d4b7-4773-8ffe-8dd6b67da859,9.4,-0.8,-3.12
5ac50e7c-42fd-49b7-9285-0f80caa0bef7,10.8,1.4,1.74
5b25e783-bbce-4484-b734-a93b055890a8,9.4,-0.8,-3.12
5b4b7a60-939e-42af-ab6c-e513cd456b23,11.1,0.6,2.02
5b61f7be-4fd3-4673-9689-23fc2d8b5b19,16.2,0.3,-0.92
5b6e3d6e-b823-4d02-bb00-1438cbdce9f2,11.1,0.6,2.02
5b6ee264-b781-497c-96b5-fdc59de521f5,12.4,0.5,1.79
5b90010c-1b1a-489c-974f-8d3753acc19a,11.1,0.6,
5b95da2d-92f0-4f0e-a059-c1c074a1d6ca,7.6,2.6,0.32
5bd462d3-f017-4b7f-be8c-7e6ab9fcaa5c,12.7,3.7,-1.7
5bd47205-eab0-4a8f-865b-125aa51edc2c,12.7,3.7,-1.7
5c09314c-0f1e-4438-802e-631c093aba7a,15.5,2.8,-4.06
5cdcba44-fa22-4fb1-a8d3-1a302356bef2,9.4,-0.8,-3.12
5ce2625b-d874-4de3-adb1-ac9d60071826,15.5,2.8,-4.06
5cec2d9e-f91b-42e3-ad0c-bed09b2ad9b9,16.2,0.3,-0.92
5d1e6afb-c9d9-416e-ae66-4e220707b55f,10.8,1.4,1.74
5d22dbd4-0512-4ac6-856d-3a152f5827e0,9.4,-0.8,-3.12
5d27ac4e-d1e0-4e3d-9f2a-60d876368e48,15.5,2.8,-4.06
5d33ef13-df87-479c-8f53-0a39c01b289d,9.4,-0.8,-3.12
5d6bd0d5-aeb4-488a-9e23-f5bf41568b3a,16.2,0.3,-0.92
5e20dab3-d5ae-40a6-9e31-097f57060103,12.4,0.5,1.79
5e3b20cc-415c-44b5-bd3c-965ef330e7e6,12.4,0.5,1.79
5e4fc152-8aad-41c8-a609-e7c168a34d1f,12.4,0.5,1.79
5e52345c-b9b7-418d-8be8-5b473f655363,10.8,1.4,1.74
5e7ff03b-29f0-4b15-bd0a-2f6ad67b8c01,8.9,1.4,3.51
5e9cacef-c64a-42c0-8f60-69469c3044bc,9.4,-0.8,-3.12
5efdbe15-0be4-4798-98db-e357fd429d3d,10.8,1.4,1.74
5f0cc2ad-61da-4a66-82b8-4b18e632616f,13.9,-0.3,0.79
5f7f3e1c-9f3d-4756-ae58-db2bc6386753,11.1,0.6,2.02
5f886806-1e2f-4415-9350-a2a73d97ef21,11.1,0.6,2.02
5fc1c1cb-6ac2-43c9-9a51-7f99922463d4,,,
5fea25a9-a9a5-4777-a609-5772252948e2,8.9,1.4,3.51
5fec8ada-c05d-4abb-847b-720193755028,7.6,2.6,0.32
600694e2-048e-421c-a500-140a7464b2d9,9.4,-0.8,-3.12
6020ab94-2fa7-4900-9ae3-d8ea6d3995e0,8.9,1.4,3.51
6041c9ce-f3c9-402f-b88f-ae3914024396,8.9,1.4,3.51
60899bc5-adae-4a23-bd64-1276d7bf6982,16.2,0.3,-0.92
6090761f-44bb-4a6b-8682-c545b1710435,7.6,2.6,0.32
6095297d-b7e0-438b-aec3-d4ec3e2b8231,12.4,0.5,1.79
60caaa7b-45de-48bb-bf17-eca64931ebb1,16.2,0.3,-0.92
60f4dad8-a601-47ff-9e8b-71987999f1b3,15.5,2.8,-4.06
60fb6f36-d65e-4953-860f-78602ed35b66,12.7,3.7,-1.7
614cbece-2144-4261-91a5-342a2fc8095d,7.6,2.6,0.32
616b8b32-90fd-4543-9130-c0e7bed74330,10.8,1.4,1.74
61b5f79e-bac8-49cd-9908-b8dfdb5f67d2,12.4,0.5,1.79
61fc55f3-42b8-40dd-8243-e0ac73fce338,9.4,-0.8,-3.12
623bc5e7-10e8-4d9f-8818-c42fd44ff6b2,12.7,3.7,-1.7
62892030-f1be-4ed6-a21f-2148f9056f3e,12.7,3.7,-1.7
628c0e8a-f299-4eb5-84c8-189222c23a63,10.8,1.4,1.74
62febf65-8610-4951-b0f4-7ac7a46bb462,12.7,3.7,-1.7
631bfe8f-c4ee-4ca0-96ec-1c023072c882,13.9,-0.3,0.79
631ea27e-f159-410a-9ce0-8c80e70a7ddb,7.6,2.6,0.32
6333102e-5e94-49e1-82d4-74b0310cd8c6,13.9,-0.3,0.79
63908c9c-bdf1-4692-b503-276df6966c9a,11.1,0.6,2.02
63a4d26a-2a85-4789-a22c-9ffecb1562af,16.2,0.3,-0.92
63dbe0c2-7d6e-4643-8f79-ae8b315dede6,13.9,-0.3,0.79
63dceff4-9613-4bd1-bc49-da1d3f5369cc,12.7,3.7,-1.7
63f8ed83-cc50-49be-bbf3-7018a96ff581,7.6,2.6,0.32
6412bd65-8047-4ae3-a7f0-e4676c754df6,12.4,0.5,1.79
6413b8aa-0809-4d93-a523-b1ffcec33ef9,15.5,2.8,-4.06
64660579-4c7b-48b7-a129-5adf69c061e2,16.2,0.3,-0.92
648854b7-318a-4627-bbfc-a2186801beeb,16.2,0.3,-0.92
648f7dfb-fc90-4561-87b7-1e251d2624fd,8.9,1.4,3.51
649f07a5-7521-46d6-848b-04b493d07e5d,16.2,0.3,-0.92
64aaf4d3-2e02-4c05-b5bc-c74753a3f25e,7.6,2.6,0.32
64fe870f-e2f4-42c2-aebb-ea374046a85b,7.6,2.6,
65060d13-12d0-46c0-853f-05dab572eaa3,15.5,2.8,-4.06
6535a631-f51a-402f-a2eb-9d7bbd3581bd,7.6,2.6,0.32
6551efab-d935-4d2a-8883-8a66e2488817,10.8,1.4,1.74
65600faa-601c-4aea-87ff-d86071f0e5c1,9.4,-0.8,-3.12
65ab3f57-81fa-4233-9235-5a652c9cb9b4,15.5,2.8,
65b4495e-cf75-440d-8c1b-e76c780771db,13.9,-0.3,0.79
65c25d1b-96fb-4750-91fd-6d1ec920d931,12.4,0.5,1.79
65d016c3-dc91-40a7-8241-822797cdc966,8.9,1.4,3.51
65d1fb62-676f-43ef-851e-54c10391ef59,8.9,1.4,3.51
65d7a8c9-aea6-4287-9c46-cad56b51e4b2,10.8,1.4,1.74
662347d6-3f70-4ac0-a28e-5b5e269bcf6a,12.4,0.5,1.79
663831c8-4cb9-45e2-93a7-f09260b5e76a,12.4,0.5,1.79
663cfcd6-58a8-4d2d-9683-afd5a70454ce,12.4,0.5,1.79
664d81ff-7269-4db1-b78a-d6a362ce0c2c,9.4,-0.8,-3.12
6698d0ec-90b5-4d7b-a3a2-99ef8f2d2742,11.1,0.6,2.02
66bafa05-a6e9-4a1e-8678-6f10fe8c7d23,10.8,1.4,1.74
66c45284-9e08-4ca7-bdf8-946aaf843415,15.5,2.8,-4.06
66e0db0e-bd80-4b28-a27d-a0d8a220c7e8,9.4,-0.8,-3.12
66f05902-0490-4d59-9172-014742be16e1,9.4,-0.8,-3.12
67270c58-917d-40d9-b15f-10bd38708b90,10.8,1.4,1.74
675e31e3-e35f-4d15-9fab-df79eb98f98e,11.1,0.6,2.02
678805b5-d4f5-4023-9824-f702122c4cd4,12.7,3.7,-1.7
67d5cd98-3c49-4e19-8423-5d44f3b12d26,7.6,2.6,0.32
67d7dbf3-ca65-47b1-bf95-1d3cc6a25134,12.4,0.5,1.79
67dd6439-b1dc-4ddd-b3aa-195ab179f13f,11.1,0.6,2.02
686cfab9-abbb-4d79-86e4-b6aa502182d3,7.6,2.6,0.32
68797e96-d814-4d5b-a0b6-1432779e8ca5,11.1,0.6,2.02
68a75173-cf54-4f46-b777-3e5bba932ced,9.4,-0.8,-3.12
68e04495-a457-45a7-b099-041ab1015f51,11.1,0.6,2.02
6901f1c7-8363-4b3d-8f98-588768cc44e6,11.1,0.6,2.02
692a809d-b1fb-4b7c-9c66-c2aa19377c25,16.2,0.3,-0.92
695d5074-2ffd-49a0-9498-25b2b94683e3,11.1,0.6,2.02
6a0a3891-d129-4331-bcf7-4759a65417bf,12.4,0.5,1.79
6a2f4d9f-3280-4335-91fe-04a4fc155979,15.5,2.8,-4.06
6a6de6af-f24e-4f70-948c-9899608464cc,8.9,1.4,3.51
6a7fc54f-9cd5-4376-9cae-6e09b590deb1,10.8,1.4,1.74
6b1d8ec3-b224-4646-8d03-dc99b45c50d8,16.2,0.3,-0.92
6b5d441a-1aef-45d8-8f62-031746c465a6,7.6,2.6,0.32
6b68287e-d908-4cd4-976f-8f2a760e8288,7.6,2.6,0.32
6b6ce0ff-b4c9-4443-9db2-d855efdc27ad,16.2,0.3,-0.92
6b6da7d0-bb64-4917-b476-ed9628af7716,7.6,2.6,0.32
6b983c14-91e6-4f9a-9296-8af735bcbed6,13.9,-0.3,0.79
6be7f606-ed05-4276-8762-10df47a1af30,9.4,-0.8,-3.12
6bf2254e-9537-4715-8d53-c04934eb878d,9.4,-0.8,-3.12
6c0a8efa-442e-4843-97c5-82d29342e146,11.1,0.6,2.02
6c1788de-7eb9-496e-9342-92b070bbd3a4,16.2,0.3,-0.92
6c327f6a-8879-45cb-8648-f65e03b8186d,12.4,0.5,1.79
6c393573-efac-4dcd-8ad2-9c8baef76b1d,12.7,3.7,-1.7
6c69e308-a6e5-4d6b-a02a-d7dc4649620c,9.4,-0.8,-3.12
6c6ccf9d-d243-45f3-b7cc-e80229f6d601,13.9,-0.3,0.79
6c722dca-74d1-416d-849c-ed396cc64d17,12.4,0.5,1.79
6c92f9b0-01aa-436f-aa50-545363f94ac5,9.4,-0.8,-3.12
6cbd92c2-43cf-4bc4-a70b-0ea3d6675191,13.9,-0.3,0.79
6cc384fa-bc86-471d-91e9-2b86d24cc197,7.6,2.6,0.32
6cd820d8-7b98-4bbb-ad69-4df992e59c1c,9.4,-0.8,-3.12
6cef2726-8552-4d37-b81d-f590f83da022,15.5,2.8,-4.06
6d2139ea-ddb4-4c29-a699-469085b69d27,12.4,0.5,1.79
6d22c099-7559-4cb1-b148-ee51798cca78,16.2,0.3,-0.92
6d293055-d9f0-4442-a8ad-7cd0aeaecf75,9.4,-0.8,-3.12
6d328e4b-65c0-49d0-8a89-a1c1971cc35b,9.4,-0.8,-3.12
6dc2f684-9a42-449f-bbd6-2e16f144541b,15.5,2.8,-4.06
6ddee692-617e-4481-8f20-4ed243612a9c,10.8,1.4,1.74
6e301a54-18ef-4136-a66b-db9f8294739b,12.7,3.7,-1.7
6e5eb2ab-a239-4eb3-ae25-57ebd5b3470a,9.4,-0.8,-3.12
6e97a25d-09b6-4935-8e77-2279cb1a9ae9,12.7,3.7,-1.7
6e9cafaa-df45-4a3d-93b2-d7b7e1c5c67b,12.4,0.5,1.79
6ec82693-d200-432d-9364-d7e13da59c5d,9.4,-0.8,-3.12
