ID,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Scholarship holder,Age at enrollment,International,Education
3c40c5df-7ba0-4f97-8e80-bf06fc004f8e,13,14,4,4,1,0,0,1,0,18,0,
3cc8eaae-e986-4dd7-890d-a5c604ad010a,13,1,10,10,1,0,0,1,0,20,0,
3d10cab7-0969-433b-943f-4de8c2aa04c6,3,3,2,11,1,0,0,1,0,19,0,
3d1ea7ff-2444-4c71-a68b-b97e797961d3,4,5,5,3,0,0,0,1,0,21,0,
3d2e7c84-5946-4262-89a7-eb94c63ddfd5,27,3,16,22,1,0,0,1,0,20,0,
3d49fe91-cb69-45f2-814c-e61226e80bba,1,1,5,7,0,0,0,0,0,18,0,
3d4d2162-35fd-4602-b1a5-ce799d036948,13,1,10,6,1,0,0,1,0,19,0,
3d8c53af-a7f6-4644-bfdf-40a3ac31db1f,2,27,4,10,0,0,0,1,0,34,0,
3dc11d1c-cae9-4079-b3b7-b86db47fb0e0,23,27,10,7,0,0,,0,0,37,0,
3de73364-078d-4da7-96c9-8f0da322c98a,19,27,1,1,,0,0,1,0,43,0,
3e434bbc-741b-4763-b9a0-3df6be513364,22,27,7,7,0,0,0,1,0,55,0,
3e47282d-556b-4a3d-a4f7-fa13b025508f,13,14,10,4,1,0,0,1,0,39,0,
3e5f47d3-5864-4094-a0d9-358dbdd391a0,4,4,4,7,0,0,1,0,0,20,1,
3e79b11f-c3ed-4479-b89a-7badc2859b20,3,3,3,3,0,0,1,1,0,18,0,
3e8bbf28-59eb-4af3-a72b-894adb7e3883,3,14,3,8,1,0,0,1,0,,0,
3ea66335-ca73-4d43-bea0-f9f0011e40fb,1,3,3,3,1,1,0,1,0,22,0,
3eb7d4ef-7e6c-47f3-826e-671f5f02b13e,1,28,6,6,0,0,0,0,0,20,0,
3eed7db8-87cc-443f-9dc0-9e63a24f8359,,27,10,10,0,0,0,1,0,29,0,
3f15d918-f679-4d4a-a25b-f71357d836b8,23,28,5,6,0,0,0,1,0,24,0,
3f2b61c0-10d3-433b-a720-cdec1944b1f6,13,14,10,,1,0,0,1,0,18,0,
3f3e15db-3329-42d3-8c81-67f2369a3728,22,14,8,8,1,0,0,1,1,22,0,
3f5c8ee4-4716-49e4-95f2-35f16cc34460,1,14,10,10,0,0,0,1,1,21,0,
3f61f57f-fdab-4201-a9c8-c833083f382b,22,28,10,10,0,0,0,1,1,19,0,
3fb2a0da-758f-45cb-baa3-8926c2531fc9,13,28,10,8,0,0,0,1,1,24,0,
3fe87785-07ec-4cb9-a955-70884c1fb9bb,22,28,7,7,1,0,0,1,1,19,0,
40085add-8875-44c7-8559-2c00c09ba635,1,14,8,8,1,0,,1,1,20,0,
403c1040-7a9c-467d-bbaf-f9239eb6fe13,22,27,12,12,0,0,0,1,0,19,0,
40489a43-b44b-44b8-a3ec-f94da9f9c564,23,28,10,10,0,0,0,1,0,27,0,
405ee5b5-eee4-49d1-899a-8ee5dc6c8ba9,1,14,6,6,1,0,0,1,0,18,0,
40842874-b77c-4ae0-b0eb-ca26bf2884e1,1,3,5,4,0,0,0,1,0,39,0,
40b2ec90-39e6-4c53-8cf2-b81e6e3584aa,3,3,3,3,1,0,0,1,0,27,0,
40bebd37-429b-453c-8dfa-9eebea2017f1,23,28,8,11,1,0,0,1,0,18,0,
40c9ed76-94d2-457d-9418-6f2d1bdae2d0,23,27,5,10,1,0,0,1,0,18,0,
40ca2f3e-4563-4424-8a03-13b1db7e1358,13,,10,10,0,0,0,1,0,18,0,
40d1a754-219f-4c0e-a92f-6635a7538f39,13,1,10,10,0,0,0,1,1,21,0,
41751dec-8c7d-4f85-a3dd-944cf9b855d1,1,27,5,8,1,0,0,1,1,19,0,
41bfb546-66c9-46c1-b109-5e679b86f9d1,1,1,4,5,1,0,0,1,0,19,0,
41d82e38-0845-4e64-8c11-77f0e492ce7c,1,1,4,4,0,0,0,1,0,24,0,
420d64b7-db33-4371-9cc6-04790d18edc6,1,1,6,6,1,,0,1,0,29,0,
421f4400-60aa-4b1c-96bd-2cea9c898d1d,13,14,6,4,1,0,0,1,1,19,0,
42b4c346-cd00-4bb3-8033-6926fe84ee25,13,27,10,10,1,0,0,1,0,23,0,
43249030-9371-46cf-9714-14150e04ad95,1,28,8,8,0,0,1,1,0,19,0,
434c912c-dc66-454e-87ba-321c01ac26dc,13,27,8,11,0,0,0,1,0,26,0,
434e3c35-ad9c-4b48-994c-f628549b56d0,23,27,6,6,0,0,0,1,0,18,0,
434fe7c6-0a2d-4d49-9bf6-a095f5fbb423,22,14,9,5,0,0,0,1,0,24,0,
4354a2e3-84d4-4fc8-b76e-7917ffc51a7f,13,14,6,11,1,0,0,1,0,19,0,
4383ca8a-376e-4d98-bf25-8907e1c41e37,23,27,6,8,1,0,0,1,0,18,0,
438b6a8c-98c3-444f-8437-1e49923185f5,23,28,,10,1,0,0,1,0,18,0,
43cca529-3e5f-4d41-aa9b-b1a03ea8bd51,13,14,5,8,1,0,1,1,0,18,0,
43d54614-a0a9-4ab0-a54a-a0fd76097612,13,27,8,8,1,0,0,1,1,21,0,
43f774ba-9065-4c8d-828e-8ac5d495f853,1,14,10,9,1,0,1,1,1,19,0,
4424f2ec-1444-4481-ae44-5923fc5e0c01,,27,10,10,0,0,0,1,1,22,0,
4477662d-f6ef-46ba-8648-52fd0b51811a,22,27,10,7,0,0,0,1,0,,0,
44c23098-70ca-4045-8b4f-f9f4bb550525,13,14,10,10,1,0,0,1,0,20,0,
44e28d56-ce95-468b-9132-e630d5390b67,3,3,3,3,1,0,0,1,0,35,0,
4516fe88-dd55-4ee3-aed6-847cb6fa7bce,3,3,5,3,0,0,1,1,0,24,0,
451e82e8-adbd-498c-84cc-84e21752f6c1,13,14,5,5,0,0,0,1,0,18,0,
45253fa3-9ee9-4f06-9de9-0209c87fea03,22,27,10,7,1,0,0,1,0,33,0,
452cf30c-f256-4e28-a4b1-7efc91102273,22,28,10,8,,0,0,1,1,22,0,
452ddbad-725c-41d8-8081-39720ca3b809,1,14,5,6,0,0,0,1,1,,0,
455f7375-e6bd-446e-98f6-15ad5ab851df,13,28,5,1,1,0,0,1,0,20,0,
45669034-f979-4ddd-9c99-d55e0809fc57,23,27,10,10,1,0,0,1,0,23,0,
456fbff9-e323-4994-8d8b-65a4f32b651d,23,14,10,7,1,0,1,1,0,18,0,
45cb5d0f-b202-42e0-be89-27c8bccc1e6b,1,1,5,11,0,0,0,1,0,24,0,
45f24da4-587b-4539-af91-063316aa19f9,13,1,10,10,1,0,0,0,0,21,1,
4617f5ef-78de-4c3c-baf5-a304a5d99225,1,1,5,5,0,0,0,1,0,26,1,
46599228-ade1-4f54-8ab6-f93105f966e9,22,24,1,1,0,0,0,1,0,39,0,
46b0d031-0e7d-4dfc-9007-4d2f2305d5f4,22,14,10,10,0,0,0,1,0,44,0,
46d83fda-3e8d-442b-9ecd-44e8e6b44aa8,23,3,10,3,1,0,0,1,0,19,1,
46f72561-105a-4a86-ad1f-3e214dae935c,22,1,6,6,1,0,0,1,0,18,0,
4703b956-0052-4df5-9be8-e9f0cc14e126,22,27,8,8,1,0,0,1,1,18,0,
472b9902-5d50-41d9-b54f-47a01876f66a,1,2,10,2,1,,0,1,0,19,0,
47305a00-2a44-4e8a-a4a8-d5c1223294fd,3,3,3,3,1,0,1,0,0,19,0,
477c39e4-0144-4e12-ae60-867f0fd3fdce,23,28,,10,0,0,0,1,0,21,0,
47879fb5-3495-48a1-9fe4-72771c402bd6,1,1,10,11,1,0,0,1,0,20,0,
4793f218-b419-4238-8b1a-68477be38951,22,27,7,6,1,0,0,1,0,36,,
4796c289-96ce-4ea9-90c8-3d3d4da5b074,22,27,10,7,0,0,0,1,0,43,0,
479d90a0-6a47-40b1-82aa-86b00536419e,13,14,10,8,1,0,0,1,0,19,0,
479ee0ff-4e93-4553-aa91-e9a1107f446d,3,1,3,9,0,0,1,1,0,20,0,
47e0bcec-b04d-4b11-ba80-a14c494fc644,22,28,5,8,1,0,0,1,0,19,,
47eda3a5-8625-4ddf-b20b-460742fcad21,1,1,5,5,1,0,0,1,0,20,0,
48120f83-7062-4d24-8d57-23fbcf9ea954,3,4,5,4,1,0,0,1,0,20,0,
4813044d-a1c9-4e5c-9aa7-97299f72c6de,13,1,10,4,1,0,0,1,0,20,0,
4834f049-fad7-48e9-9f0f-f8d60c3dbe93,22,27,7,8,1,0,0,,0,18,0,
48d6687f-db51-4df1-a6e6-05818066ab94,1,28,5,8,1,0,0,,1,18,0,
48dce523-9cd7-4303-b911-e7a3885eb0f5,13,14,10,10,1,0,0,1,0,19,0,
48e44439-2f2e-421c-8a8c-2c5997651155,1,28,5,8,1,0,0,1,0,18,0,
49391c86-b352-4cb8-b7e8-3ae167fcdaf3,22,27,10,10,1,0,0,1,0,18,0,
493c6824-e2ae-478e-9478-f797e2402ccb,23,,10,6,0,0,0,1,0,20,0,
4954e540-2d47-4769-b033-2d638ad1a774,13,27,10,8,1,0,0,1,1,20,0,
49ae1f30-ad45-49b1-8497-b08332f60e1a,13,14,4,4,0,0,0,1,0,20,0,
49fec245-4fd9-41da-98e9-b6043eb909c0,22,28,10,8,0,0,0,1,0,18,0,
4a6b41b0-47c1-41aa-bc28-b47c34234fa1,2,14,5,6,0,0,0,,0,18,0,
4a77b1c7-3f0f-47f4-9393-41cfc7ba61a6,1,1,5,6,1,0,0,1,0,21,0,
4abd1fb2-f1de-48a2-a855-e9ade02f76d3,13,14,10,8,1,0,0,1,0,19,0,
4ac5433d-1c8f-4a2e-84d6-c09de2c344ee,3,14,3,10,0,0,0,1,0,19,0,
4acc6e46-d7f3-4df7-9d8b-a88aae1a0bc8,23,28,10,10,0,0,0,1,1,19,0,
4b00d4fa-6cf0-46a3-901a-e313f7db2142,13,28,5,8,1,0,0,1,0,19,0,
4b45bae1-398e-4f68-b161-792cc9968200,1,1,5,6,1,0,0,1,0,19,0,
4b50e0b0-83dd-4014-9bae-5b7e953ec9d4,22,27,10,10,1,0,0,1,0,20,0,
4b77c0d9-2315-40bb-8d99-98a49e99506d,13,28,10,4,1,0,0,1,1,18,0,
4b814ed2-9afc-4df0-82f9-dc8773d9ae97,1,29,6,4,1,0,0,1,0,18,0,
4b9f817a-bb8d-4933-9452-89c756d43a1d,1,27,9,10,1,0,0,1,0,19,0,
4c0de9c1-fe0a-45e1-a2c3-4c9667d793ee,13,14,6,9,1,0,0,1,1,18,0,
4c143bd4-e343-47d9-bc8b-9aeeab84bb43,22,27,10,10,1,0,0,1,0,18,0,
4c1de728-a861-4199-883d-45a0d0ae0b9b,1,14,5,9,1,0,0,1,0,19,0,
4c3456ae-a68f-4d2b-982b-dd0f5afb31ce,1,14,4,4,1,0,0,1,0,19,0,
4c5f226e-5c94-4ac4-9309-08a07bc35206,23,27,10,8,0,0,0,1,0,20,0,
4c611416-b19b-4a0a-8054-b8037663ed76,1,28,4,10,0,0,1,0,1,19,0,
4c8cc8de-53be-4613-9bea-6708420932e3,13,14,6,6,1,0,0,1,0,20,0,
4c9584ed-fa90-412e-aade-5b89864d7ba0,1,1,20,39,0,0,1,1,1,18,0,
4ca6a324-c728-429c-8d4a-d28fdc13b459,13,1,5,8,0,0,0,1,1,20,0,
4d05090a-875e-4bb0-8192-c2ea7bb031d1,13,1,5,9,0,,0,1,0,18,0,
4d09cadb-d42e-4a5d-a7cc-27c6c2286c10,22,27,10,10,1,0,0,1,0,19,0,
4d35c1f9-4601-439f-9a3b-8032eaf921fe,13,1,5,5,1,0,0,1,1,19,0,
4d54c3dc-b7c4-46b4-a458-6b6d7aa06d09,3,1,4,4,1,0,1,0,0,22,0,
4da09cae-106b-4e12-881c-3fc5c41db601,1,,10,11,1,0,0,1,1,19,0,
4dc4a37e-1835-4860-ac98-6b40a29617f0,13,14,10,8,1,0,0,1,1,19,0,
4e124d7f-7f68-4ed1-a9f8-daea55f9a701,22,28,6,7,1,0,0,1,1,19,0,
4e1d108d-6e2b-4c2c-b9f7-83858f72807b,10,14,10,10,1,0,0,1,0,19,0,
4e1d8d95-81fb-4e8d-a0e2-35bc1f3c0948,1,27,10,11,1,0,0,1,0,20,0,
4e21cca0-b8f4-4e76-84d0-6719c888e279,3,14,3,11,0,0,0,1,0,18,0,
4e254f91-ca07-457f-bc40-9aedc6e0114f,1,14,10,10,0,,0,1,1,20,0,
4e35c4f8-d76d-40fa-8570-43b5f1b66b2c,3,27,3,9,1,0,0,1,,18,0,
4e4de38e-e9bd-45ef-bff2-7f7dc74c88c7,1,28,5,8,0,0,0,1,0,19,0,
4e572828-5abd-462a-93d1-a2c88ecd500a,23,28,8,7,1,0,0,1,0,18,0,
4e6bdd69-ed85-43e9-8992-580cd055c142,22,27,10,10,1,0,0,1,0,18,0,
4e703ca1-cb44-4ce7-96eb-20ae04b186e2,3,27,3,6,1,0,0,1,0,21,0,
4e7312e1-9d19-4a97-86a3-ef248cce17ec,23,27,7,7,0,0,0,1,0,19,0,
4f178ea5-ea4b-44a3-9756-bd9e28448679,23,28,10,10,0,0,0,1,1,18,0,
4f1f3efe-e661-4ccc-946f-759db2ff2d45,1,27,8,10,1,0,0,1,1,18,0,
4f39971a-b5a5-4e5d-a093-6710966d715b,13,1,10,11,1,0,0,1,0,20,0,
4f453cce-d522-4307-ad60-ee8cb782f258,1,14,7,9,0,0,0,1,,24,0,
4fb54373-621a-4d18-bcb2-5694ba7f9ac2,13,1,5,2,0,0,0,1,0,19,0,
4fbb8320-4a6a-48b2-b3cf-9789e2bfcb1a,13,27,10,8,1,0,0,1,1,18,0,
50668011-ce6b-4a4d-8644-82abc0ac86f4,13,14,10,10,1,0,0,1,0,18,0,
50814050-b707-4b79-b6b9-e4ba1390e8cb,10,10,5,5,1,0,0,1,0,21,0,
50815944-ec17-45e4-9b51-4bf649c9bad4,1,14,6,5,0,0,0,1,0,19,0,
50891f70-a510-4998-b5ba-f01be9830d3d,13,27,8,8,0,0,0,1,1,19,0,
50f2707d-cf80-46d2-baaa-5ac5b3b57e5d,1,27,7,7,0,0,1,1,0,47,0,
5119f219-9917-4f4f-9e17-8614516785cd,13,14,8,9,0,0,0,1,0,19,0,
511b91d7-da96-4dc6-98a5-acd40e8fe2d4,2,2,2,2,0,0,0,1,0,29,0,
51335e68-6b56-474b-8494-a5a0c2a80d9f,13,14,5,9,1,0,0,1,0,21,0,
51473788-ef36-43a6-a7da-637ee4ebe0c4,22,14,10,8,1,0,0,1,0,28,0,
51497705-d2d4-41a9-9a2b-7994d2ba46ed,22,27,4,11,0,0,0,1,0,20,0,
5161fc79-0cfc-4562-9fa2-b441506c1c3d,2,28,5,6,1,0,0,1,0,19,0,
516c3062-bb8a-4d54-9c37-6c16e42ac5de,13,2,5,7,0,0,0,1,0,26,0,
517dfd58-9187-4ed4-b041-8341fb73194c,22,27,10,9,1,,1,0,0,20,0,
518bcc1f-2413-4ed2-9792-38103ab2e69c,22,27,10,10,1,0,0,1,1,18,0,
51fc563d-e836-40b7-83ab-a72ca3a143c6,22,14,10,6,0,0,0,1,0,27,0,
52bec48a-26bf-4346-adb1-5b056c7c124b,19,24,12,12,1,0,0,1,0,20,0,
52ecdbff-3892-4f2f-bd94-147eb5bfcdf2,22,14,10,6,1,0,0,1,0,18,,
5355c37b-f1d5-45d5-bdae-1c80b4662133,1,1,10,6,0,0,0,1,0,33,0,
53748b34-023a-4c7c-bdbf-b90eb4589f34,3,1,4,4,1,,0,1,0,35,0,
5385e4ed-1b46-458c-9e7a-dcfb6d643581,22,14,10,9,0,0,0,1,1,26,0,
538887f3-258b-423a-974c-a2cac1c1f060,13,14,4,5,0,0,1,0,0,27,0,
53aa4894-55d2-4853-ae4d-1e4ac3906a78,1,27,6,6,1,0,0,0,0,19,0,
53c14f11-48d2-490f-9a93-76e2f15e203d,1,14,5,7,0,0,0,1,0,20,0,
53d694dd-e3e8-4a81-ac69-8d95f5942489,3,3,6,8,1,0,1,0,0,20,0,
53f39cce-6e94-40d0-abf2-c8b788737fc8,1,27,6,10,0,0,1,0,0,21,0,
5406a6a3-a4d9-4f9b-948a-9088fa69f42e,23,1,10,5,1,0,0,1,1,18,0,
540cc668-09c9-4144-b5ed-641f5a392b64,1,14,10,10,1,0,0,1,0,24,0,
54603074-e6e1-410b-9ba0-db64eb9f2b6b,1,3,5,2,1,0,0,,0,20,0,
546eff74-76c0-4740-bcb5-6a66c3adad04,13,28,10,9,0,0,0,1,1,21,0,
54b670be-e494-4b40-b5cb-a60ed1b305b2,1,27,8,4,0,0,0,1,0,23,0,
54db18e8-1c5a-4221-a14d-b04daa7953a6,10,3,5,4,1,0,0,1,0,24,0,
54ed3c4c-4514-4325-aa6d-fca099c208bf,1,1,5,11,0,0,0,1,0,21,0,
54f05c9c-da7a-4044-9e42-c43c34f1d818,23,28,10,9,1,0,0,1,0,18,0,3
551b7de0-7644-490b-be5b-b175725ce58e,13,1,4,5,1,0,0,1,0,27,0,13
55529f2b-5379-4352-93e2-220c34d94ba4,22,27,6,6,1,0,0,1,0,18,0,1
558de8cb-a281-49fa-9230-dfdedca77cab,3,2,3,3,0,0,0,1,0,35,0,
55ac0472-c73e-40c8-b761-c86721b2c635,13,14,4,9,0,0,0,1,0,18,0,
55d39525-eb52-4689-a025-b38071e225b1,1,3,28,19,0,0,0,1,0,35,0,
56074f4c-0356-40e5-b5af-9cfa030ecebc,1,1,5,8,1,0,0,1,0,19,0,
5682ac9b-ae0e-4c4b-af4d-d7e6649afe4d,13,14,5,1,1,0,0,1,0,20,0,
569681aa-1cd5-43b0-bf80-a5eadbc75228,13,14,8,8,1,0,0,1,0,18,0,
57499814-d363-41a8-a89c-be0da2a9a420,23,28,6,11,0,0,1,1,0,21,0,
57687e86-ad62-4d49-9d29-291eb31b8dd8,13,27,10,9,0,0,0,1,1,18,0,
57781283-9df4-44de-82d4-56b7725892a5,19,24,1,1,1,0,0,1,0,18,0,
57a7903b-164d-46d0-9e2a-1e17378e497a,13,28,10,10,1,0,0,1,0,18,0,
57c025c2-b530-473a-b169-105be7047504,3,14,2,5,1,0,0,1,1,18,0,
57c78724-9bc0-4a3f-9e7e-88277efd878d,13,1,9,8,1,0,0,1,0,19,0,
583b2299-0272-44df-add7-8a093df8bbe2,3,14,3,4,0,0,0,1,1,36,0,
596589f4-b521-45b5-a1b3-945bd75a0d02,23,1,8,5,1,0,0,1,1,18,0,
597fe991-dc7f-49af-94f2-01793cf8031c,22,27,10,10,0,0,0,1,1,18,0,
59898b57-9f37-42f3-8980-8750e05afaa4,1,3,10,3,1,0,0,1,1,20,0,
59c723e2-84b7-4b71-84f8-25ae32ba1749,22,27,10,10,0,0,0,1,1,26,0,
59e92af8-fdbc-41fe-a375-56c7e184188c,1,1,5,6,0,0,0,1,0,,0,
5a12fbd0-b073-4f53-a121-a831bc8980eb,1,1,5,6,0,0,0,1,0,25,0,
5a2a2992-8484-4602-bdb9-fcfeb6045c38,13,3,6,6,1,0,0,,1,19,0,
5a619393-a54d-44d7-b584-d8baf9ea475f,13,27,9,8,1,0,0,1,0,24,0,
5a62950c-0be6-4edb-ba95-3d5c95c14493,1,14,6,5,0,0,0,1,1,27,0,
5a98cfb3-f08c-41e8-bcbd-66f04f074c10,13,27,2,4,0,0,0,1,0,21,0,
5a9f614b-d4b7-4773-8ffe-8dd6b67da859,23,28,8,8,0,0,0,1,1,18,0,
5ac50e7c-42fd-49b7-9285-0f80caa0bef7,22,27,6,8,0,1,0,1,1,19,0,
5b25e783-bbce-4484-b734-a93b055890a8,1,1,4,4,1,0,0,1,0,18,0,
5b4b7a60-939e-42af-ab6c-e513cd456b23,13,1,6,10,0,0,0,1,1,19,,
5b61f7be-4fd3-4673-9689-23fc2d8b5b19,1,28,,6,1,0,0,1,1,19,0,
5b6e3d6e-b823-4d02-bb00-1438cbdce9f2,25,5,4,4,0,0,0,1,0,33,0,
5b6ee264-b781-497c-96b5-fdc59de521f5,1,4,4,11,0,0,0,1,0,45,0,
5b90010c-1b1a-489c-974f-8d3753acc19a,1,1,10,10,0,0,0,1,1,20,0,
5b95da2d-92f0-4f0e-a059-c1c074a1d6ca,19,24,1,1,1,0,0,1,0,28,0,
5bd462d3-f017-4b7f-be8c-7e6ab9fcaa5c,1,1,6,9,1,0,0,1,1,19,0,
5bd47205-eab0-4a8f-865b-125aa51edc2c,1,27,5,6,1,0,0,1,0,18,0,
5c09314c-0f1e-4438-802e-631c093aba7a,13,14,5,7,0,0,0,1,0,38,0,
5cdcba44-fa22-4fb1-a8d3-1a302356bef2,1,3,5,4,0,0,0,1,0,19,0,
5ce2625b-d874-4de3-adb1-ac9d60071826,1,27,10,10,0,0,0,1,1,21,0,
5cec2d9e-f91b-42e3-ad0c-bed09b2ad9b9,22,1,10,11,0,0,0,1,0,21,0,
5d1e6afb-c9d9-416e-ae66-4e220707b55f,23,27,10,10,0,0,0,1,1,22,0,
5d22dbd4-0512-4ac6-856d-3a152f5827e0,13,14,6,8,0,0,0,1,1,18,0,
5d27ac4e-d1e0-4e3d-9f2a-60d876368e48,22,27,4,10,0,1,0,1,1,18,0,
5d33ef13-df87-479c-8f53-0a39c01b289d,13,1,10,10,1,0,0,0,0,25,0,
5d6bd0d5-aeb4-488a-9e23-f5bf41568b3a,13,14,10,8,0,0,1,0,0,24,0,
5e20dab3-d5ae-40a6-9e31-097f57060103,3,1,5,5,1,0,0,1,0,19,0,
5e3b20cc-415c-44b5-bd3c-965ef330e7e6,3,3,4,4,1,0,0,1,0,24,0,
5e4fc152-8aad-41c8-a609-e7c168a34d1f,22,14,6,6,1,0,0,1,1,20,0,
5e52345c-b9b7-418d-8be8-5b473f655363,22,1,10,2,0,0,0,0,0,25,0,
5e7ff03b-29f0-4b15-bd0a-2f6ad67b8c01,23,14,10,11,0,0,0,1,1,20,0,
5e9cacef-c64a-42c0-8f60-69469c3044bc,13,28,6,4,0,0,0,1,0,23,0,
5efdbe15-0be4-4798-98db-e357fd429d3d,13,27,8,7,1,0,0,1,1,19,0,
5f0cc2ad-61da-4a66-82b8-4b18e632616f,22,27,10,11,0,0,1,0,0,29,0,19
5f7f3e1c-9f3d-4756-ae58-db2bc6386753,13,27,5,8,1,0,0,1,0,21,0,19
5f886806-1e2f-4415-9350-a2a73d97ef21,13,1,10,9,1,0,0,1,1,18,0,24
5fc1c1cb-6ac2-43c9-9a51-7f99922463d4,,,,,,,,,,,,
5fea25a9-a9a5-4777-a609-5772252948e2,23,27,8,8,1,0,0,1,1,18,0,
5fec8ada-c05d-4abb-847b-720193755028,7,14,12,7,0,0,0,1,0,19,0,
600694e2-048e-421c-a500-140a7464b2d9,22,27,10,9,1,0,0,1,0,18,0,
6020ab94-2fa7-4900-9ae3-d8ea6d3995e0,1,1,5,5,0,0,0,1,0,18,0,
6041c9ce-f3c9-402f-b88f-ae3914024396,23,27,8,8,1,0,1,0,1,37,0,
60899bc5-adae-4a23-bd64-1276d7bf6982,22,27,7,7,0,0,0,1,0,29,0,
6090761f-44bb-4a6b-8682-c545b1710435,22,27,10,10,0,0,0,1,0,18,0,
6095297d-b7e0-438b-aec3-d4ec3e2b8231,1,1,10,9,1,0,0,1,1,19,0,
60caaa7b-45de-48bb-bf17-eca64931ebb1,1,1,4,2,1,0,1,0,0,22,0,
60f4dad8-a601-47ff-9e8b-71987999f1b3,22,28,10,8,0,0,0,1,1,20,0,
60fb6f36-d65e-4953-860f-78602ed35b66,22,27,13,13,0,0,0,1,0,34,0,
614cbece-2144-4261-91a5-342a2fc8095d,22,28,10,10,0,0,1,0,0,30,0,
616b8b32-90fd-4543-9130-c0e7bed74330,1,1,5,5,0,0,0,1,0,18,0,
61b5f79e-bac8-49cd-9908-b8dfdb5f67d2,23,14,10,6,0,0,0,1,0,18,0,
61fc55f3-42b8-40dd-8243-e0ac73fce338,3,1,2,4,1,0,0,1,0,18,0,
623bc5e7-10e8-4d9f-8818-c42fd44ff6b2,4,1,3,4,1,0,0,1,0,18,0,
62892030-f1be-4ed6-a21f-2148f9056f3e,23,28,10,10,1,0,0,1,1,19,0,
628c0e8a-f299-4eb5-84c8-189222c23a63,22,27,10,10,1,0,0,1,1,19,0,
62febf65-8610-4951-b0f4-7ac7a46bb462,1,1,10,10,0,0,0,1,1,18,0,
631bfe8f-c4ee-4ca0-96ec-1c023072c882,22,28,5,9,0,0,0,1,1,21,0,
631ea27e-f159-410a-9ce0-8c80e70a7ddb,1,14,10,10,1,0,0,0,0,20,0,
6333102e-5e94-49e1-82d4-74b0310cd8c6,10,14,5,9,1,0,0,1,0,20,0,
63908c9c-bdf1-4692-b503-276df6966c9a,5,1,3,6,0,0,0,1,0,19,0,
63a4d26a-2a85-4789-a22c-9ffecb1562af,1,28,5,6,0,0,0,1,0,20,0,
63dbe0c2-7d6e-4643-8f79-ae8b315dede6,10,1,5,11,1,0,0,1,0,18,0,
